f	m	p	d	mean	sd
0.1	1	3	1	0.0	0.0
0.1	1	3	2	0.0	0.0
0.1	1	3	3	0.0	0.0
0.1	1	3	4	0.02	0.13999999999999999
0.1	1	3	5	0.06	0.23748684174075835
0.1	1	4	1	0.0	0.0
0.1	1	4	2	0.0	0.0
0.1	1	4	3	0.06	0.31048349392520047
0.1	1	4	4	0.06	0.23748684174075835
0.1	1	4	5	0.08	0.2712931993250107
0.1	1	5	1	0.0	0.0
0.1	1	5	2	0.0	0.0
0.1	1	5	3	0.0	0.0
0.1	1	5	4	0.0	0.0
0.1	1	5	5	0.12	0.38157568056677826
0.1	2	3	1	0.0	0.0
0.1	2	3	2	0.0	0.0
0.1	2	3	3	0.0	0.0
0.1	2	3	4	0.0	0.0
0.1	2	3	5	0.0	0.0
0.1	2	4	1	0.0	0.0
0.1	2	4	2	0.0	0.0
0.1	2	4	3	0.0	0.0
0.1	2	4	4	0.02	0.13999999999999999
0.1	2	4	5	0.0	0.0
0.1	2	5	1	0.0	0.0
0.1	2	5	2	0.0	0.0
0.1	2	5	3	0.0	0.0
0.1	2	5	4	0.02	0.13999999999999999
0.1	2	5	5	0.0	0.0
0.1	3	3	1	0.0	0.0
0.1	3	3	2	0.0	0.0
0.1	3	3	3	0.0	0.0
0.1	3	3	4	0.0	0.0
0.1	3	3	5	0.0	0.0
0.1	3	4	1	0.0	0.0
0.1	3	4	2	0.0	0.0
0.1	3	4	3	0.0	0.0
0.1	3	4	4	0.0	0.0
0.1	3	4	5	0.0	0.0
0.1	3	5	1	0.0	0.0
0.1	3	5	2	0.0	0.0
0.1	3	5	3	0.0	0.0
0.1	3	5	4	0.0	0.0
0.1	3	5	5	0.0	0.0
0.2	1	3	1	0.0	0.0
0.2	1	3	2	0.1	0.36055512754639896
0.2	1	3	3	0.06	0.23748684174075835
0.2	1	3	4	0.14	0.4004996878900157
0.2	1	3	5	0.1	0.3
0.2	1	4	1	0.0	0.0
0.2	1	4	2	0.0	0.0
0.2	1	4	3	0.12	0.3815756805667783
0.2	1	4	4	0.38	0.6289674077406556
0.2	1	4	5	0.5	0.8306623862918074
0.2	1	5	1	0.0	0.0
0.2	1	5	2	0.0	0.0
0.2	1	5	3	0.0	0.0
0.2	1	5	4	0.38	0.6896375859826668
0.2	1	5	5	0.48	0.8059776671843955
