f	m	p	d	mean	sd
0.1	1	3	1	0.0	0.0
0.1	1	3	2	0.0	0.0
0.1	1	3	3	0.0	0.0
0.1	1	3	4	0.000253164556962026	0.0017721518987341824
0.1	1	3	5	0.001185800559728972	0.005168571994974607
0.1	1	4	1	0.0	0.0
0.1	1	4	2	0.0	0.0
0.1	1	4	3	0.0023202614379084947	0.015556688320374835
0.1	1	4	4	0.0004227964567121812	0.0016740175363874033
0.1	1	4	5	0.0008794326241134752	0.00322448759555027
0.1	1	5	1	0.0	0.0
0.1	1	5	2	0.0	0.0
0.1	1	5	3	0.0	0.0
0.1	1	5	4	0.0	0.0
0.1	1	5	5	0.0010856268449609332	0.004548372613179548
0.1	2	3	1	0.0	0.0
0.1	2	3	2	0.0	0.0
0.1	2	3	3	0.0	0.0
0.1	2	3	4	0.0	0.0
0.1	2	3	5	0.0	0.0
0.1	2	4	1	0.0	0.0
0.1	2	4	2	0.0	0.0
0.1	2	4	3	0.0	0.0
0.1	2	4	4	0.0006451612903225799	0.00451612903225806
0.1	2	4	5	0.0	0.0
0.1	2	5	1	0.0	0.0
0.1	2	5	2	0.0	0.0
0.1	2	5	3	0.0	0.0
0.1	2	5	4	0.000303030303030304	0.002121212121212128
0.1	2	5	5	0.0	0.0
0.1	3	3	1	0.0	0.0
0.1	3	3	2	0.0	0.0
0.1	3	3	3	0.0	0.0
0.1	3	3	4	0.0	0.0
0.1	3	3	5	0.0	0.0
0.1	3	4	1	0.0	0.0
0.1	3	4	2	0.0	0.0
0.1	3	4	3	0.0	0.0
0.1	3	4	4	0.0	0.0
0.1	3	4	5	0.0	0.0
0.1	3	5	1	0.0	0.0
0.1	3	5	2	0.0	0.0
0.1	3	5	3	0.0	0.0
0.1	3	5	4	0.0	0.0
0.1	3	5	5	0.0	0.0
0.2	1	3	1	0.0	0.0
0.2	1	3	2	0.002062937062937064	0.007778504484065595
0.2	1	3	3	0.0015592334494773522	0.006188133936388672
0.2	1	3	4	0.005775623582766446	0.024264113389049956
0.2	1	3	5	0.0023678516575297943	0.007229544635595233
0.2	1	4	1	0.0	0.0
0.2	1	4	2	0.0	0.0
0.2	1	4	3	0.0036140852476256196	0.013702015966105976
0.2	1	4	4	0.0085490226289908	0.021300208877985515
0.2	1	4	5	0.03333948850392763	0.11751336739258737
0.2	1	5	1	0.0	0.0
