f	m	p	d	mean	sd
0.1	1	3	1	5.744642519532094	0.040084322496139906
0.1	1	3	2	5.047399289214884	0.06342968114495955
0.1	1	3	3	4.843354235698417	0.07935692629253917
0.1	1	3	4	4.827247574253313	0.08050868766168397
0.1	1	3	5	4.7995726150885325	0.07417791424759863
0.1	1	4	1	6.000000434294259	8.881784197001252e-16
0.1	1	4	2	5.741540305448178	0.030330659917231724
0.1	1	4	3	5.084377412279434	0.0539893948109093
0.1	1	4	4	4.935031541172063	0.07218864401677941
0.1	1	4	5	4.920215531438193	0.06805691157312431
0.1	1	5	1	6.000000434294259	8.881784197001252e-16
0.1	1	5	2	6.000000434294259	8.881784197001252e-16
0.1	1	5	3	5.714130315705098	0.028365990743673464
0.1	1	5	4	5.103085411267867	0.049258682983302805
0.1	1	5	5	4.990605378758378	0.056483147144875644
0.1	2	3	1	5.835442509824048	0.020904847666153088
0.1	2	3	2	5.088774089524363	0.03887166602772036
0.1	2	3	3	4.88602200646466	0.0699392455561898
0.1	2	3	4	4.855470010800067	0.06309767111577894
0.1	2	3	5	4.869734352078143	0.08105726672628419
0.1	2	4	1	6.000000434294259	8.881784197001252e-16
0.1	2	4	2	5.858924380937173	0.015278021948521493
0.1	2	4	3	5.158377775963962	0.03741331288321701
0.1	2	4	4	4.98877118667929	0.04160802420363842
0.1	2	4	5	4.983356120453391	0.05425277619094467
0.1	2	5	1	6.000000434294259	8.881784197001252e-16
0.1	2	5	2	6.000000434294259	8.881784197001252e-16
0.1	2	5	3	5.866655877729825	0.01743629703902028
0.1	2	5	4	5.222504149065582	0.030628316784506206
0.1	2	5	5	5.080982669225229	0.043804600278854224
0.1	3	3	1	5.844965419078992	0.01635848805928478
0.1	3	3	2	5.091540792824606	0.04462111932006791
0.1	3	3	3	4.879800785666021	0.07005869008791986
0.1	3	3	4	4.864948807290398	0.05769652154881727
0.1	3	3	5	4.854330757101763	0.06276378534060884
0.1	3	4	1	6.000000434294259	8.881784197001252e-16
0.1	3	4	2	5.870301266882585	0.007248300455006348
0.1	3	4	3	5.169479023834134	0.03341280297210845
0.1	3	4	4	5.002442518662315	0.05844569044463162
0.1	3	4	5	4.98239073170654	0.044558355188853316
0.1	3	5	1	6.000000434294259	8.881784197001252e-16
0.1	3	5	2	6.000000434294259	8.881784197001252e-16
0.1	3	5	3	5.885994359297192	0.009535674190325149
0.1	3	5	4	5.232923715624432	0.03459680304696313
0.1	3	5	5	5.098851440501764	0.04328052588760077
0.2	1	3	1	5.624930569593771	0.09539775783385225
0.2	1	3	2	4.9146094026765335	0.0892550656016256
0.2	1	3	3	4.760186838008662	0.10052949622249696
0.2	1	3	4	4.751148792632143	0.09858379098614677
0.2	1	3	5	4.749659241669243	0.0927944004250504
0.2	1	4	1	6.000000434294259	8.881784197001252e-16
0.2	1	4	2	5.531421623477088	0.056707952597775335
0.2	1	4	3	4.906560852476599	0.07085142939237314
0.2	1	4	4	4.778522931281651	0.11083449498324933
0.2	1	4	5	4.797699656202092	0.08982656592464316
0.2	1	5	1	6.000000434294259	8.881784197001252e-16
0.2	1	5	2	6.000000434294259	8.881784197001252e-16
0.2	1	5	3	5.4491911868425404	0.03590413197526781
0.2	1	5	4	4.921943444251705	0.07807323134335627
0.2	1	5	5	4.83749353717403	0.08614788475199917
0.2	2	3	1	5.825444248489326	0.02708223657917941
0.2	2	3	2	5.065307433324325	0.05201575623247543
0.2	2	3	3	4.859753418747041	0.08230685680976223
0.2	2	3	4	4.848575135222738	0.07682828814792474
0.2	2	3	5	4.874998105744509	0.06729028344980534
0.2	2	4	1	6.000000434294259	8.881784197001252e-16
0.2	2	4	2	5.831794503060437	0.03345130921733589
0.2	2	4	3	5.119768444021126	0.07337401651939196
0.2	2	4	4	4.987818660249844	0.058646053776017795
0.2	2	4	5	4.971840425345699	0.08529148157852917
0.2	2	5	1	6.000000434294259	8.881784197001252e-16
0.2	2	5	2	6.000000434294259	8.881784197001252e-16
0.2	2	5	3	5.8033767075288685	0.03769873273804492
0.2	2	5	4	5.1329653995155695	0.054107692046953156
0.2	2	5	5	5.015137864341991	0.05002820226242988
0.2	3	3	1	5.843508437247895	0.017645841848332677
0.2	3	3	2	5.091482975078249	0.04335443083056055
0.2	3	3	3	4.895959630049265	0.07923876275269998
0.2	3	3	4	4.869783443713337	0.07776361221027141
0.2	3	3	5	4.885903319202469	0.07216324066607605
0.2	3	4	1	6.000000434294259	8.881784197001252e-16
0.2	3	4	2	5.868395918919888	0.01482695617761775
0.2	3	4	3	5.162122672477572	0.043123656808775154
0.2	3	4	4	5.001217886784844	0.05171863632741598
0.2	3	4	5	4.993802380830164	0.044875010692022266
0.2	3	5	1	6.000000434294259	8.881784197001252e-16
0.2	3	5	2	6.000000434294259	8.881784197001252e-16
0.2	3	5	3	5.8788197423520785	0.011447690912314639
0.2	3	5	4	5.229439222859899	0.033849265648121116
0.2	3	5	5	5.095740545102126	0.04126149564582538
0.3	1	3	1	5.518164621416954	0.11527852844763459
0.3	1	3	2	4.776360539119727	0.12083257247961554
0.3	1	3	3	4.67911631272968	0.12124489246976489
0.3	1	3	4	4.679779041380328	0.13942639696365947
0.3	1	3	5	4.701483684681954	0.14786955128527987
0.3	1	4	1	5.99897071901155	0.00654749305410197
0.3	1	4	2	5.293973463731772	0.0681572855128809
0.3	1	4	3	4.776800383065996	0.11203301190145216
0.3	1	4	4	4.7223506758746385	0.11635306100998659
0.3	1	4	5	4.709110636013889	0.13420608927693972
0.3	1	5	1	6.000000434294259	8.881784197001252e-16
0.3	1	5	2	5.997712738718602	0.008297752996226093
0.3	1	5	3	5.1737788053884515	0.04661322326281729
0.3	1	5	4	4.786837270664665	0.10243664167663373
0.3	1	5	5	4.719718668880707	0.12612461494919297
0.3	2	3	1	5.794842624611103	0.052760671535041964
0.3	2	3	2	5.046910365042541	0.06519732573879927
