f	m	p	d	mean	sd
0.1	1	3	1	3.0	0.0
0.1	1	3	2	3.0	0.0
0.1	1	3	3	3.0	0.0
0.1	1	3	4	3.0	0.0
0.1	1	3	5	3.0	0.0
0.1	1	4	1	3.3227627066609506	0.04845159012987573
0.1	1	4	2	4.0	0.0
0.1	1	4	3	4.0	0.0
0.1	1	4	4	4.0	0.0
0.1	1	4	5	4.0	0.0
0.1	1	5	1	3.3086039385900126	0.04945055925280321
0.1	1	5	2	4.326880795936059	0.04588782457577803
0.1	1	5	3	5.0	0.0
0.1	1	5	4	5.0	0.0
0.1	1	5	5	5.0	0.0
0.1	2	3	1	3.0	0.0
0.1	2	3	2	3.0	0.0
0.1	2	3	3	3.0	0.0
0.1	2	3	4	3.0	0.0
0.1	2	3	5	3.0	0.0
0.1	2	4	1	3.180110200944495	0.026668212764544102
0.1	2	4	2	4.0	0.0
0.1	2	4	3	4.0	0.0
0.1	2	4	4	4.0	0.0
0.1	2	4	5	4.0	0.0
0.1	2	5	1	3.1751958133406326	0.023240335491831503
0.1	2	5	2	4.159253841049394	0.02792259172317947
0.1	2	5	3	5.0	0.0
0.1	2	5	4	5.0	0.0
0.1	2	5	5	5.0	0.0
0.1	3	3	1	3.0	0.0
0.1	3	3	2	3.0	0.0
0.1	3	3	3	3.0	0.0
0.1	3	3	4	3.0	0.0
0.1	3	3	5	3.0	0.0
0.1	3	4	1	3.158465007567516	0.011455997216836591
0.1	3	4	2	4.0	0.0
0.1	3	4	3	4.0	0.0
0.1	3	4	4	4.0	0.0
0.1	3	4	5	4.0	0.0
0.1	3	5	1	3.1639593394128447	0.011864329434975758
0.1	3	5	2	4.13822530192126	0.008777839093921075
0.1	3	5	3	5.0	0.0
0.1	3	5	4	5.0	0.0
0.1	3	5	5	5.0	0.0
0.2	1	3	1	3.0	0.0
0.2	1	3	2	3.0	0.0
0.2	1	3	3	3.0	0.0
0.2	1	3	4	3.0	0.0
0.2	1	3	5	3.0	0.0
0.2	1	4	1	3.52216191905875	0.12947597618881312
0.2	1	4	2	4.0	0.0
0.2	1	4	3	4.0	0.0
0.2	1	4	4	4.0	0.0
0.2	1	4	5	4.0	0.0
0.2	1	5	1	3.5273543688277686	0.10430456142577794
0.2	1	5	2	4.608956690402409	0.0700815421341058
0.2	1	5	3	5.0	0.0
0.2	1	5	4	5.0	0.0
0.2	1	5	5	5.0	0.0
0.2	2	3	1	3.0	0.0
0.2	2	3	2	3.0	0.0
0.2	2	3	3	3.0	0.0
0.2	2	3	4	3.0	0.0
0.2	2	3	5	3.0	0.0
0.2	2	4	1	3.1995196317650674	0.044892844883179704
0.2	2	4	2	4.0	0.0
0.2	2	4	3	4.0	0.0
