f	m	p	d	mean	sd
0.1	1	3	1	0.9730504792947587	0.4479179278143242
0.1	1	3	2	0.6804302812517826	0.4689683441504876
0.1	1	3	3	0.7387543203314917	0.4355874696081944
0.1	1	3	4	0.7791748906629878	0.44459439005190005
0.1	1	3	5	0.8583855167396963	0.42822898337238646
0.1	1	4	1	1.3176782704997154	0.3298404264828494
0.1	1	4	2	0.9940493998046087	0.3489927218762997
0.1	1	4	3	1.0119764367783102	0.39824558462593346
0.1	1	4	4	1.0890278199078678	0.3691673165466958
0.1	1	4	5	0.9671933012597309	0.4033078559482988
0.1	1	5	1	1.20555127562942	0.3677128233194502
0.1	1	5	2	1.2667868424924396	0.3925136155642722
0.1	1	5	3	0.9759824562343286	0.41842737547483105
0.1	1	5	4	1.2811690297832083	0.3571569674169226
0.1	1	5	5	1.2990010381525576	0.28488502394890164
0.1	2	3	1	0.1456693667836864	0.25384436820806255
0.1	2	3	2	0.07796272508816537	0.18881164993038735
0.1	2	3	3	0.08139186469415297	0.17608398872256303
0.1	2	3	4	0.13520480528008655	0.2610516585063786
0.1	2	3	5	0.09118044308401779	0.2037340232776028
0.1	2	4	1	0.24347791783700387	0.3675283983888034
0.1	2	4	2	0.15677590426885074	0.2697594711234293
0.1	2	4	3	0.11147548981344406	0.20795177572352144
0.1	2	4	4	0.17836680766850094	0.26712010772723827
0.1	2	4	5	0.1470289682394135	0.25708389214304095
0.1	2	5	1	0.1822509093255068	0.3255699665779894
0.1	2	5	2	0.23135703059961243	0.3529382739724068
0.1	2	5	3	0.17897063312844086	0.27191002987854274
0.1	2	5	4	0.2250362719254883	0.34130257871987163
0.1	2	5	5	0.30133702512444854	0.36969109357750835
0.1	3	3	1	0.03844605712448962	0.15273366641498312
0.1	3	3	2	0.01197062371954392	0.08379436603680743
0.1	3	3	3	0.0205878408349687	0.10407281957495583
0.1	3	3	4	0.013848500133963399	0.09693950093774381
0.1	3	3	5	0.00824317443731724	0.057702221061220686
0.1	3	4	1	0.01713260912162254	0.08431330527294192
0.1	3	4	2	0.008099269701278779	0.05669488790895147
0.1	3	4	3	0.019870002509517	0.1006444418109055
0.1	3	4	4	0.01909120193194638	0.10280669460068115
0.1	3	4	5	0.01033188987887324	0.07232322915211267
0.1	3	5	1	0.008099269701278779	0.05669488790895146
0.1	3	5	2	0.013728080201900462	0.09609656141330324
0.1	3	5	3	0.01292399523288884	0.09046796663022189
0.1	3	5	4	0.009054014793582879	0.06337810355508015
0.1	3	5	5	0.02358759015236616	0.09431198454684393
0.2	1	3	1	0.9589834121463316	0.42243030958163647
0.2	1	3	2	1.1929011174932136	0.3366314602678324
0.2	1	3	3	1.271840434708674	0.3659766632737339
0.2	1	3	4	1.165747182346247	0.4001300858316996
0.2	1	3	5	1.2475317968072734	0.3471135369358305
0.2	1	4	1	1.1714502260611197	0.3991111717922281
0.2	1	4	2	1.2117110285429693	0.30350876997980364
0.2	1	4	3	1.4597343992106595	0.31583371267987026
0.2	1	4	4	1.4281855264116927	0.36805466836737205
0.2	1	4	5	1.1546622429684783	0.4773336169413878
0.2	1	5	1	1.26991328509589	0.3073053028180745
0.2	1	5	2	1.2441823557557634	0.37936653732819986
0.2	1	5	3	1.2711130365490986	0.31932809120597117
0.2	1	5	4	1.3755235294480723	0.4428744598860596
0.2	1	5	5	1.253716227784273	0.42053950250334365
0.2	2	3	1	0.10923546269068092	0.21696522082416153
0.2	2	3	2	0.1591685508107941	0.25262174464010995
