f	m	p	d	mean	sd
0.1	1	3	1	0.58455588	0.19820734870671572
0.1	1	3	2	0.5115192	0.21102971052512962
0.1	1	3	3	0.5306012	0.20194296474797033
0.1	1	3	4	0.5428552400000001	0.19313889244867902
0.1	1	3	5	0.570639	0.17020844383766628
0.1	1	4	1	0.6900206	0.1380630761049456
0.1	1	4	2	0.63369712	0.14161433247360805
0.1	1	4	3	0.6614916399999999	0.14734017794950025
0.1	1	4	4	0.67667372	0.10963121271025691
0.1	1	4	5	0.64792864	0.14828156357278677
0.1	1	5	1	0.66057908	0.13879306440205721
0.1	1	5	2	0.67568364	0.15975876604565523
0.1	1	5	3	0.6452219600000001	0.15081544959982845
0.1	1	5	4	0.75731724	0.09785265920138501
0.1	1	5	5	0.74136976	0.11758494763983357
0.1	2	3	1	0.10819684	0.18288065374077817
0.1	2	3	2	0.059890439999999996	0.13173715555106844
0.1	2	3	3	0.05806764	0.11578522843312267
0.1	2	3	4	0.1090126	0.16912643197288826
0.1	2	3	5	0.06054156000000001	0.13289450265126246
0.1	2	4	1	0.1628312	0.22765321309816824
0.1	2	4	2	0.11984384000000001	0.186586176074795
0.1	2	4	3	0.10117656000000003	0.12742169899419173
0.1	2	4	4	0.1267342	0.16266270313516862
0.1	2	4	5	0.11638892	0.1668983605039714
0.1	2	5	1	0.12092016000000001	0.2072002825306336
0.1	2	5	2	0.15654420000000002	0.22789161949145914
0.1	2	5	3	0.13600272	0.19538359943322162
0.1	2	5	4	0.18686663999999997	0.2147813271430978
0.1	2	5	5	0.23721351999999996	0.20757534317834958
0.1	3	3	1	0.032687799999999996	0.11536817391932665
0.1	3	3	2	0.011671800000000001	0.06175342611159319
0.1	3	3	3	0.01353804	0.07001925541619534
0.1	3	3	4	0.01488216	0.07323783780515643
0.1	3	3	5	0.00493056	0.03451392
0.1	3	4	1	0.0104062	0.05139188830661897
0.1	3	4	2	0.004816	0.033712
0.1	3	4	3	0.022004359999999997	0.07490532701878018
0.1	3	4	4	0.015261520000000002	0.07364768206162092
0.1	3	4	5	0.01218764	0.053452201304253134
0.1	3	5	1	0.004816	0.033712
0.1	3	5	2	0.00986544	0.06905808
0.1	3	5	3	0.014862839999999999	0.06881062580281042
0.1	3	5	4	0.015552240000000002	0.05118612232023833
0.1	3	5	5	0.01928756	0.06100571259846409
0.2	1	3	1	0.62218968	0.17474232941350412
0.2	1	3	2	0.6905753599999999	0.13750550315122081
0.2	1	3	3	0.7006116399999999	0.13287353895351176
0.2	1	3	4	0.67316424	0.15024241455442067
0.2	1	3	5	0.7247863999999999	0.10658858575738775
0.2	1	4	1	0.62572516	0.15931749892091077
0.2	1	4	2	0.7435569200000001	0.09034659290285163
0.2	1	4	3	0.7705758399999999	0.14607527802436113
0.2	1	4	4	0.7488728	0.152810147864597
0.2	1	4	5	0.6225024800000001	0.24409014045423794
0.2	1	5	1	0.67507856	0.11058220588144552
0.2	1	5	2	0.6680673199999998	0.11105353751455917
0.2	1	5	3	0.80837772	0.07028827309076245
0.2	1	5	4	0.7184789599999999	0.2045938573033863
0.2	1	5	5	0.6523671999999999	0.2015382032112026
0.2	2	3	1	0.08182828	0.14192394737972025
0.2	2	3	2	0.15431496	0.18293975488744482
0.2	2	3	3	0.15466344	0.19924947617940278
0.2	2	3	4	0.17298936	0.19340079488872428
0.2	2	3	5	0.15693043999999998	0.20020666295137732
0.2	2	4	1	0.18720268000000004	0.22955466948737419
0.2	2	4	2	0.15715452000000002	0.19467551460450697
0.2	2	4	3	0.33080892000000006	0.2580136336119345
0.2	2	4	4	0.26931756	0.2495358058059933
0.2	2	4	5	0.35623944	0.229828119735089
0.2	2	5	1	0.19467364000000004	0.2344881177287037
0.2	2	5	2	0.21443340000000002	0.22821176873150079
0.2	2	5	3	0.26736304	0.19001167976447764
0.2	2	5	4	0.57122768	0.20945376150142925
0.2	2	5	5	0.5965772	0.15273904475909228
0.2	3	3	1	0.00997084	0.06979588
0.2	3	3	2	0.00775324	0.05427268000000001
0.2	3	3	3	0.01289576	0.055447233549225886
0.2	3	3	4	0.01111216	0.06038061435108457
0.2	3	3	5	0.023121519999999996	0.08334855603841977
0.2	3	4	1	0.0019359600000000041	0.013551720000000026
0.2	3	4	2	0.029546720000000005	0.090147598351823
0.2	3	4	3	0.01976624	0.06131693392287648
0.2	3	4	4	0.021447200000000003	0.07716201926440236
0.2	3	4	5	0.03528372	0.10486007720081841
0.2	3	5	1	0.02871316	0.11367262187815676
0.2	3	5	2	0.045945919999999994	0.12777376137467975
0.2	3	5	3	0.02852344	0.08318444790708417
0.2	3	5	4	0.06620644	0.11533216271156281
0.2	3	5	5	0.08182476000000001	0.14115730222238734
0.3	1	3	1	0.69256416	0.14226200853064883
0.3	1	3	2	0.73870256	0.11776987144497697
0.3	1	3	3	0.65178248	0.20278641719585067
0.3	1	3	4	0.6745861199999998	0.17639627664252328
0.3	1	3	5	0.63959672	0.20187867405182153
0.3	1	4	1	0.63611588	0.11187414207932768
0.3	1	4	2	0.8459748400000001	0.06703980369552405
0.3	1	4	3	0.7150082400000001	0.12951362864912094
0.3	1	4	4	0.59848748	0.22644017558721688
0.3	1	4	5	0.54322664	0.28328386431576086
0.3	1	5	1	0.60152148	0.11348377582425427
0.3	1	5	2	0.68078024	0.08911459923459454
0.3	1	5	3	0.8744354	0.052022519255030306
0.3	1	5	4	0.60315444	0.23965533046349377
0.3	1	5	5	0.5354242	0.28500387412138806
0.3	2	3	1	0.19033228000000002	0.2179469725770964
0.3	2	3	2	0.25722571999999994	0.23058092281019604
0.3	2	3	3	0.2641166	0.2238748563723046
0.3	2	3	4	0.29985456000000005	0.2195528675813787
0.3	2	3	5	0.25713676	0.23301741405479204
0.3	2	4	1	0.24577036000000002	0.23819370246677474
0.3	2	4	2	0.32433200000000006	0.19012506411896352
0.3	2	4	3	0.5904059599999999	0.16888976858459603
0.3	2	4	4	0.5688138	0.15531723522095028
0.3	2	4	5	0.56517288	0.17780488272627834
0.3	2	5	1	0.26104412	0.26589352369921615
0.3	2	5	2	0.28470036000000004	0.2047724112271729
0.3	2	5	3	0.61570484	0.1423846907984647
0.3	2	5	4	0.72099132	0.15581723592394264
0.3	2	5	5	0.6521081200000001	0.2110405412420694
0.3	3	3	1	0.011862	0.06518627032865125
0.3	3	3	2	0.02201984	0.08020138621229936
0.3	3	3	3	0.02016304	0.07886032798941685
0.3	3	3	4	0.014229440000000003	0.04966550786538279
0.3	3	3	5	0.038592440000000006	0.1135189238689585
0.3	3	4	1	0.01664392	0.07581281079391268
0.3	3	4	2	0.02981792	0.08119299966963654
0.3	3	4	3	0.09301963999999999	0.17691799613818374
0.3	3	4	4	0.055062999999999994	0.10639043404235177
0.3	3	4	5	0.14472516000000002	0.19371445704978862
0.3	3	5	1	0.03200452	0.10302411518071679
0.3	3	5	2	0.02727236	0.08065684063506579
0.3	3	5	3	0.0635122	0.10991380818313956
0.3	3	5	4	0.22318508	0.22087124908822695
0.3	3	5	5	0.24862887999999997	0.22413485438660719
0.4	1	3	1	0.76882544	0.09986406547866154
0.4	1	3	2	0.64983024	0.1923415327603022
0.4	1	3	3	0.5685571199999999	0.2289415252966259
0.4	1	3	4	0.5531997600000002	0.20730005900728152
0.4	1	3	5	0.5270523199999999	0.23380646556889226
0.4	1	4	1	0.62358188	0.10453807575991438
0.4	1	4	2	0.84287548	0.0844635195002529
0.4	1	4	3	0.54859252	0.24037250414897623
0.4	1	4	4	0.44719799999999993	0.2723297906906257
0.4	1	4	5	0.44774260000000005	0.2604971771416343
0.4	1	5	1	0.57150748	0.09888406007587673
0.4	1	5	2	0.7138628800000001	0.08560981065663911
0.4	1	5	3	0.8353805999999999	0.1376560808381526
0.4	1	5	4	0.57661728	0.25023023241319503
0.4	1	5	5	0.40973299999999996	0.2718467226747455
0.4	2	3	1	0.176297	0.20024458787602725
0.4	2	3	2	0.3533832400000001	0.23574186011445317
0.4	2	3	3	0.37170824	0.237885541218676
0.4	2	3	4	0.36911231999999994	0.2678678135523893
0.4	2	3	5	0.3919236	0.2307042203698927
0.4	2	4	1	0.23450696000000001	0.24126836905097693
0.4	2	4	2	0.5174440800000001	0.1989463087198996
0.4	2	4	3	0.6736592000000001	0.12353270662557345
0.4	2	4	4	0.61088472	0.15325171454349734
0.4	2	4	5	0.62308388	0.1639790198270059
0.4	2	5	1	0.23946452000000001	0.21320158706831804
0.4	2	5	2	0.43283671999999995	0.13647163028601073
0.4	2	5	3	0.8682548800000001	0.04513618711793897
0.4	2	5	4	0.6242720400000001	0.2151418949078919
0.4	2	5	5	0.46059868000000004	0.2599275864899638
0.4	3	3	1	0.006720439999999999	0.026952130528891408
0.4	3	3	2	0.032720719999999995	0.10137284791008687
0.4	3	3	3	0.06363624	0.1395932150893531
0.4	3	3	4	0.05287584	0.13278183226441184
0.4	3	3	5	0.0559232	0.14325681132846704
0.4	3	4	1	0.02706308	0.09044319733243403
0.4	3	4	2	0.05680028	0.11556972129897002
0.4	3	4	3	0.21443964000000001	0.22669777510745534
0.4	3	4	4	0.17764980000000002	0.20675000975332505
0.4	3	4	5	0.20108363999999998	0.21177905888531662
0.4	3	5	1	0.0	0.0
0.4	3	5	2	0.05669788000000001	0.09757066439163772
0.4	3	5	3	0.18217048000000002	0.17099374502785064
0.4	3	5	4	0.45643368	0.22082857697910746
0.4	3	5	5	0.5530225999999999	0.167105978908835
0.5	1	3	1	0.7915021200000001	0.14496881340117812
0.5	1	3	2	0.54031136	0.2094388550734328
0.5	1	3	3	0.42773824	0.24990952068959355
0.5	1	3	4	0.42477792000000003	0.22776793988231445
0.5	1	3	5	0.45174735999999993	0.24201697954893658
0.5	1	4	1	0.60350216	0.14150085141897345
0.5	1	4	2	0.8117800400000001	0.11755984734150687
0.5	1	4	3	0.47817992	0.21968427521548647
0.5	1	4	4	0.36997328	0.2669443171041512
0.5	1	4	5	0.30483144	0.23741966639115303
0.5	1	5	1	0.55554848	0.09781529070779067
0.5	1	5	2	0.7754239600000001	0.07939736716288771
0.5	1	5	3	0.82010292	0.100214913542614
0.5	1	5	4	0.40379672000000005	0.24865878249834972
0.5	1	5	5	0.4064380000000001	0.2731581028286732
0.5	2	3	1	0.24264987999999998	0.1723152642582357
0.5	2	3	2	0.4571947200000001	0.22603537336435112
0.5	2	3	3	0.5056856	0.20845074113948361
0.5	2	3	4	0.4551049599999999	0.19438096747706138
0.5	2	3	5	0.45670640000000007	0.21787425457010748
0.5	2	4	1	0.31567512000000003	0.21499662684206372
0.5	2	4	2	0.72272136	0.12660969290757482
0.5	2	4	3	0.61750504	0.2066887027872554
0.5	2	4	4	0.53201544	0.19546135504003442
0.5	2	4	5	0.5708291999999999	0.21554820672656963
0.5	2	5	1	0.26397255999999997	0.22800303535208996
0.5	2	5	2	0.61198268	0.09376178215081879
0.5	2	5	3	0.8408751200000001	0.10885371669036203
0.5	2	5	4	0.49252296	0.2099321330667566
0.5	2	5	5	0.3822355999999999	0.24170641663274062
0.5	3	3	1	0.01646388	0.0763098722099939
0.5	3	3	2	0.07671272	0.1685881866968193
0.5	3	3	3	0.11009332000000001	0.1935880260907105
0.5	3	3	4	0.07355172	0.16244264533822886
0.5	3	3	5	0.038435040000000004	0.10829103814904721
0.5	3	4	1	0.019921	0.06153208349893574
0.5	3	4	2	0.09630372000000001	0.14117277316593876
0.5	3	4	3	0.29323564	0.23224266594497747
0.5	3	4	4	0.27032096	0.23216489985085684
0.5	3	4	5	0.26803864	0.2500733854532913
0.5	3	5	1	0.021162520000000004	0.09096016013073857
0.5	3	5	2	0.0802334	0.12115683870240258
0.5	3	5	3	0.42759848	0.2173709907896856
0.5	3	5	4	0.6487919200000001	0.13596273537699072
0.5	3	5	5	0.5916365200000001	0.16425656999307395
0.6	1	3	1	0.77634184	0.14231731963009422
0.6	1	3	2	0.43210412	0.24109847661780362
0.6	1	3	3	0.36601348	0.24976006691793148
0.6	1	3	4	0.37536608	0.24565844449656846
0.6	1	3	5	0.40963812000000005	0.2379679685152302
0.6	1	4	1	0.6960332	0.1621825144399975
0.6	1	4	2	0.7917503599999999	0.1501211550553432
0.6	1	4	3	0.36792640000000004	0.2640741406229697
0.6	1	4	4	0.32818948	0.25927902689598636
0.6	1	4	5	0.29126872	0.2641752068320598
0.6	1	5	1	0.562746	0.105259298894872
0.6	1	5	2	0.8261686000000001	0.07979406362305407
0.6	1	5	3	0.7795727199999999	0.12787627534692117
0.6	1	5	4	0.24875460000000005	0.23851963666725637
0.6	1	5	5	0.2566944	0.23895874055443128
0.6	2	3	1	0.38581424	0.23692250669436704
0.6	2	3	2	0.52323948	0.21992047023296762
0.6	2	3	3	0.5447005200000001	0.17400332461688656
0.6	2	3	4	0.54719984	0.181421192025558
0.6	2	3	5	0.49298400000000003	0.2106233163054841
0.6	2	4	1	0.3947558	0.21518610539800195
0.6	2	4	2	0.80294696	0.11152941350387528
0.6	2	4	3	0.49996967999999997	0.20690012051165552
0.6	2	4	4	0.44877224000000004	0.23629599181827524
0.6	2	4	5	0.43835648	0.2298727909729414
0.6	2	5	1	0.32210136	0.18576709834389513
0.6	2	5	2	0.6975385600000001	0.08099438183779416
0.6	2	5	3	0.8453850800000001	0.07257501859699109
0.6	2	5	4	0.39539396000000004	0.2310372517199735
0.6	2	5	5	0.29569724000000003	0.24674909185417968
0.6	3	3	1	0.057476400000000004	0.11821919800100152
0.6	3	3	2	0.10203784	0.16548267808412578
0.6	3	3	3	0.10447443999999999	0.18896299144723125
0.6	3	3	4	0.08703367999999999	0.16507805892358196
0.6	3	3	5	0.11260140000000003	0.18914606909719273
0.6	3	4	1	0.029449	0.07295060246413322
0.6	3	4	2	0.16223659999999998	0.17572779972184255
0.6	3	4	3	0.29305164	0.23937268754365107
0.6	3	4	4	0.43270159999999996	0.23081317482882124
0.6	3	4	5	0.35468824	0.23492153332230403
0.6	3	5	1	0.058795400000000005	0.12823900264818033
0.6	3	5	2	0.17486332000000002	0.16931894574564774
0.6	3	5	3	0.70689764	0.15586202399131868
0.6	3	5	4	0.54550316	0.20711318336101736
0.6	3	5	5	0.51889384	0.21559081376379283
0.7	1	3	1	0.78575956	0.10014726876698335
0.7	1	3	2	0.38216528000000005	0.24848148378943974
0.7	1	3	3	0.29378164	0.21609422945546325
0.7	1	3	4	0.33958504	0.2317175030351363
0.7	1	3	5	0.25412672	0.19363296560524398
0.7	1	4	1	0.7781190400000001	0.10972442063077117
0.7	1	4	2	0.7785450800000001	0.12596695791148407
0.7	1	4	3	0.30684156	0.23889081576830531
0.7	1	4	4	0.23113508000000002	0.24383973134965842
0.7	1	4	5	0.23371576000000005	0.25362982156698843
0.7	1	5	1	0.5673142800000001	0.07546847563321787
0.7	1	5	2	0.8430802800000001	0.07234834293500854
