f	m	p	d	mean	sd
0.1	1	3	1	81.36	14.227803765866323
0.1	1	3	2	89.4	14.26043477598071
0.1	1	3	3	87.44	11.884712869901401
0.1	1	3	4	89.12	12.999446142047747
0.1	1	3	5	82.9	18.17278184538625
0.1	1	4	1	88.72	22.076267800513744
0.1	1	4	2	225.3	38.49272658568109
0.1	1	4	3	218.3	44.49550539099427
0.1	1	4	4	199.64	49.74284270123693
0.1	1	4	5	210.04	56.39750349084612
0.1	1	5	1	94.62	25.933676947166592
0.1	1	5	2	214.54	59.584296588950345
0.1	1	5	3	401.18	87.02015628577094
0.1	1	5	4	327.74	93.17828287750316
0.1	1	5	5	299.48	101.61402265435612
0.1	2	3	1	9.68	2.664132128855474
0.1	2	3	2	9.82	3.450739051275827
0.1	2	3	3	9.14	2.828497834540447
0.1	2	3	4	10.1	3.3000000000000003
0.1	2	3	5	9.44	3.275118318473395
0.1	2	4	1	12.46	3.6726557148744563
0.1	2	4	2	29.74	6.065673911446279
0.1	2	4	3	30.54	6.135829202316505
0.1	2	4	4	29.48	5.64354498520212
0.1	2	4	5	30.1	5.597320787662612
0.1	2	5	1	11.9	3.3778691508109073
0.1	2	5	2	35.54	5.1815441713836625
0.1	2	5	3	70.68	8.117733673877211
0.1	2	5	4	66.46	7.650385611196341
0.1	2	5	5	67.56	6.496645288146798
0.1	3	3	1	1.08	1.0552724766618335
0.1	3	3	2	0.96	0.9583318840568752
0.1	3	3	3	0.84	0.6740919818541088
0.1	3	3	4	0.98	1.0486181383134663
0.1	3	3	5	0.86	1.095627673984187
0.1	3	4	1	1.14	1.1663618649458665
0.1	3	4	2	3.4	2.009975124224178
0.1	3	4	3	2.96	1.6243152403397563
0.1	3	4	4	2.76	1.5564061166674976
0.1	3	4	5	3.18	1.6696107330752281
0.1	3	5	1	1.16	1.2705904139414874
0.1	3	5	2	3.94	2.2926840166058646
0.1	3	5	3	6.92	2.93148426569204
0.1	3	5	4	7.0	2.584569596664017
0.1	3	5	5	7.04	2.6226703948456813
0.2	1	3	1	75.76	18.222579400293473
0.2	1	3	2	61.98	19.542251661464196
0.2	1	3	3	63.42	22.600964581185465
0.2	1	3	4	66.14	19.721064879970353
0.2	1	3	5	64.7	17.789041570584963
0.2	1	4	1	88.32	35.07844922455951
0.2	1	4	2	187.32	42.588937530772
0.2	1	4	3	122.54	49.97927970669445
0.2	1	4	4	106.56	43.52753611221292
0.2	1	4	5	82.58	44.940000000000005
0.2	1	5	1	89.24	30.53100718941319
0.2	1	5	2	189.8	79.4312281158991
0.2	1	5	3	298.82	60.88372196244247
0.2	1	5	4	133.12	61.829973313919524
0.2	1	5	5	100.52	45.85247648709936
0.2	2	3	1	10.4	3.104834939252005
0.2	2	3	2	9.68	2.7161737794183938
0.2	2	3	3	10.12	2.7758962516635957
0.2	2	3	4	9.2	2.82842712474619
0.2	2	3	5	10.06	2.9489659204541514
0.2	2	4	1	12.88	4.45259474913224
0.2	2	4	2	34.54	4.887576086364283
0.2	2	4	3	33.44	4.783973244072337
0.2	2	4	4	34.4	5.8
0.2	2	4	5	33.84	6.397999687402305
0.2	2	5	1	13.64	3.735023426968029
0.2	2	5	2	43.04	8.064638863582175
0.2	2	5	3	97.24	11.019183272820177
0.2	2	5	4	86.34	15.824803316313286
0.2	2	5	5	75.5	22.43501727211281
0.2	3	3	1	1.0	0.938083151964686
0.2	3	3	2	1.08	0.9967948635501689
0.2	3	3	3	0.9	0.9219544457292888
0.2	3	3	4	0.82	0.9526804291051644
0.2	3	3	5	1.0	1.0954451150103321
0.2	3	4	1	1.16	1.0071742649611335
0.2	3	4	2	3.26	1.718254928699464
0.2	3	4	3	3.5	1.7349351572897471
0.2	3	4	4	3.66	1.6566230711903054
0.2	3	4	5	3.7	1.6881943016134133
0.2	3	5	1	0.98	0.9897474425326898
0.2	3	5	2	4.52	2.211243993773641
0.2	3	5	3	10.36	3.3091388607914296
0.2	3	5	4	9.74	2.8831233064161514
0.2	3	5	5	10.26	3.3094410404175507
0.3	1	3	1	74.1	14.533065746772085
0.3	1	3	2	42.04	17.47336258423089
0.3	1	3	3	35.54	16.086279868260405
0.3	1	3	4	39.96	18.667576168319226
0.3	1	3	5	37.8	18.519179247472064
0.3	1	4	1	78.32	28.943006063641697
0.3	1	4	2	146.36	36.73949373630508
0.3	1	4	3	56.9	23.971024175032657
0.3	1	4	4	40.34	21.808814731662977
0.3	1	4	5	45.74	29.013658852340566
0.3	1	5	1	78.12	35.435372158339185
0.3	1	5	2	212.26	95.02606168836
0.3	1	5	3	166.48	39.959599597593574
0.3	1	5	4	50.6	29.447580545776592
0.3	1	5	5	40.86	24.663341217280358
0.3	2	3	1	10.06	2.894201098749014
0.3	2	3	2	10.14	3.5327609599292167
0.3	2	3	3	9.0	3.111269837220809
