f	m	p	d	mean	sd
0.1	1	3	1	1.0	0.0
0.1	1	3	2	1.0	0.0
0.1	1	3	3	1.0	0.0
0.1	1	3	4	0.999746835443038	0.0017721518987341396
0.1	1	3	5	0.998814199440271	0.0051685719949745796
0.1	1	4	1	1.0	0.0
0.1	1	4	2	1.0	0.0
0.1	1	4	3	0.9976797385620916	0.015556688320374846
0.1	1	4	4	0.9995772035432878	0.0016740175363874005
0.1	1	4	5	0.9991205673758866	0.0032244875955502604
0.1	1	5	1	1.0	0.0
0.1	1	5	2	1.0	0.0
0.1	1	5	3	1.0	0.0
0.1	1	5	4	1.0	0.0
0.1	1	5	5	0.9989143731550391	0.004548372613179557
0.1	2	3	1	1.0	0.0
0.1	2	3	2	1.0	0.0
0.1	2	3	3	1.0	0.0
0.1	2	3	4	1.0	0.0
0.1	2	3	5	1.0	0.0
0.1	2	4	1	1.0	0.0
0.1	2	4	2	1.0	0.0
0.1	2	4	3	1.0	0.0
0.1	2	4	4	0.9993548387096775	0.004516129032258061
0.1	2	4	5	1.0	0.0
0.1	2	5	1	1.0	0.0
0.1	2	5	2	1.0	0.0
0.1	2	5	3	1.0	0.0
0.1	2	5	4	0.9996969696969696	0.002121212121212104
0.1	2	5	5	1.0	0.0
0.1	3	3	1	1.0	0.0
0.1	3	3	2	1.0	0.0
0.1	3	3	3	1.0	0.0
0.1	3	3	4	1.0	0.0
0.1	3	3	5	1.0	0.0
0.1	3	4	1	1.0	0.0
0.1	3	4	2	1.0	0.0
0.1	3	4	3	1.0	0.0
0.1	3	4	4	1.0	0.0
0.1	3	4	5	1.0	0.0
0.1	3	5	1	1.0	0.0
0.1	3	5	2	1.0	0.0
0.1	3	5	3	1.0	0.0
0.1	3	5	4	1.0	0.0
0.1	3	5	5	1.0	0.0
0.2	1	3	1	1.0	0.0
0.2	1	3	2	0.997937062937063	0.0077785044840655605
0.2	1	3	3	0.9984407665505226	0.006188133936388713
0.2	1	3	4	0.9942243764172335	0.024264113389049952
0.2	1	3	5	0.9976321483424703	0.007229544635595249
0.2	1	4	1	1.0	0.0
0.2	1	4	2	1.0	0.0
0.2	1	4	3	0.9963859147523744	0.013702015966105935
0.2	1	4	4	0.9914509773710093	0.021300208877985543
0.2	1	4	5	0.9666605114960725	0.11751336739258739
0.2	1	5	1	1.0	0.0
0.2	1	5	2	1.0	0.0
0.2	1	5	3	1.0	0.0
0.2	1	5	4	0.9901736185127921	0.033382781123551315
0.2	1	5	5	0.9848204339237172	0.04355455566724511
0.2	2	3	1	1.0	0.0
0.2	2	3	2	1.0	0.0
0.2	2	3	3	0.9983333333333334	0.011666666666666626
0.2	2	3	4	0.99875	0.008749999999999999
0.2	2	3	5	1.0	0.0
0.2	2	4	1	1.0	0.0
0.2	2	4	2	1.0	0.0
0.2	2	4	3	1.0	0.0
0.2	2	4	4	1.0	0.0
0.2	2	4	5	1.0	0.0
0.2	2	5	1	1.0	0.0
0.2	2	5	2	1.0	0.0
0.2	2	5	3	1.0	0.0
0.2	2	5	4	0.9994183350895679	0.002854547791721412
0.2	2	5	5	0.9965965918139833	0.01774211015835007
0.2	3	3	1	1.0	0.0
0.2	3	3	2	1.0	0.0
0.2	3	3	3	1.0	0.0
0.2	3	3	4	1.0	0.0
0.2	3	3	5	1.0	0.0
0.2	3	4	1	1.0	0.0
0.2	3	4	2	1.0	0.0
0.2	3	4	3	0.9957446808510638	0.028860978651596873
0.2	3	4	4	1.0	0.0
0.2	3	4	5	1.0	0.0
0.2	3	5	1	1.0	0.0
0.2	3	5	2	1.0	0.0
0.2	3	5	3	1.0	0.0
0.2	3	5	4	1.0	0.0
0.2	3	5	5	1.0	0.0
0.3	1	3	1	1.0	0.0
0.3	1	3	2	0.9889331584127251	0.02478629229490244
0.3	1	3	3	0.9743513220039353	0.07718289908656463
0.3	1	3	4	0.978899950737475	0.04912298078285816
0.3	1	3	5	0.9810581450651576	0.07525633799721675
0.3	1	4	1	1.0	0.0
0.3	1	4	2	1.0	0.0
0.3	1	4	3	0.9820771092437043	0.03645260224959666
0.3	1	4	4	0.9306676829756068	0.16921721124862862
0.3	1	4	5	0.9224811961906205	0.14585642144898958
0.3	1	5	1	1.0	0.0
0.3	1	5	2	1.0	0.0
0.3	1	5	3	0.9989868761417611	0.0031743208178685476
0.3	1	5	4	0.9533537098059555	0.09717179063253278
0.3	1	5	5	0.9295008309383763	0.1307456356419106
0.3	2	3	1	1.0	0.0
0.3	2	3	2	1.0	0.0
0.3	2	3	3	1.0	0.0
0.3	2	3	4	1.0	0.0
0.3	2	3	5	1.0	0.0
0.3	2	4	1	1.0	0.0
0.3	2	4	2	1.0	0.0
0.3	2	4	3	0.9930138888888888	0.030175799850292923
0.3	2	4	4	0.9988235294117647	0.008235294117647108
0.3	2	4	5	0.9975555555555556	0.014279398956815409
0.3	2	5	1	1.0	0.0
0.3	2	5	2	1.0	0.0
0.3	2	5	3	1.0	0.0
0.3	2	5	4	0.9892202884601857	0.03578381727327275
0.3	2	5	5	0.9722910154413973	0.06533784071251826
0.3	3	3	1	1.0	0.0
0.3	3	3	2	1.0	0.0
0.3	3	3	3	1.0	0.0
0.3	3	3	4	1.0	0.0
0.3	3	3	5	1.0	0.0
0.3	3	4	1	1.0	0.0
0.3	3	4	2	1.0	0.0
0.3	3	4	3	1.0	0.0
0.3	3	4	4	0.9974489795918368	0.017673987832335484
0.3	3	4	5	0.9974489795918368	0.017673987832335484
0.3	3	5	1	1.0	0.0
0.3	3	5	2	1.0	0.0
0.3	3	5	3	1.0	0.0
0.3	3	5	4	1.0	0.0
0.3	3	5	5	1.0	0.0
0.4	1	3	1	0.9991111111111111	0.006222222222222153
0.4	1	3	2	0.9666721952689393	0.10798487424452083
0.4	1	3	3	0.9553425460571557	0.11159685291791807
0.4	1	3	4	0.939739944497595	0.08765580795252056
0.4	1	3	5	0.9319516977845549	0.12341860399946608
0.4	1	4	1	1.0	0.0
0.4	1	4	2	0.9978103088686018	0.0066439917712887405
0.4	1	4	3	0.911146326304975	0.14566826113085302
0.4	1	4	4	0.862773550419779	0.19699700192410036
0.4	1	4	5	0.8791261207040574	0.1416214661541152
0.4	1	5	1	1.0	0.0
0.4	1	5	2	1.0	0.0
0.4	1	5	3	0.9780710792302778	0.1398111161795106
0.4	1	5	4	0.912538489991211	0.12850922749866342
0.4	1	5	5	0.8034956486229943	0.25234339045013293
0.4	2	3	1	1.0	0.0
0.4	2	3	2	0.99875	0.008749999999999999
0.4	2	3	3	0.9935064935064934	0.032049253712345654
0.4	2	3	4	0.991532967032967	0.02624825979195109
0.4	2	3	5	0.9870151515151515	0.040252876631800986
0.4	2	4	1	1.0	0.0
0.4	2	4	2	1.0	0.0
0.4	2	4	3	0.9951477262574824	0.015607397147964558
0.4	2	4	4	0.9662465239438924	0.10951518870295832
0.4	2	4	5	0.9700349223946786	0.1185800504904067
0.4	2	5	1	1.0	0.0
0.4	2	5	2	1.0	0.0
0.4	2	5	3	0.9997183098591549	0.0019718309859155527
0.4	2	5	4	0.9546859447494631	0.07242670022181669
0.4	2	5	5	0.9056180951860331	0.13869904128323177
0.4	3	3	1	1.0	0.0
0.4	3	3	2	1.0	0.0
0.4	3	3	3	0.96875	0.17399263633843817
0.4	3	3	4	0.96875	0.17399263633843817
0.4	3	3	5	1.0	0.0
0.4	3	4	1	1.0	0.0
0.4	3	4	2	1.0	0.0
0.4	3	4	3	0.995	0.034999999999999996
0.4	3	4	4	1.0	0.0
0.4	3	4	5	0.9959183673469387	0.028278380531736758
0.4	3	5	1	1.0	0.0
0.4	3	5	2	1.0	0.0
0.4	3	5	3	1.0	0.0
0.4	3	5	4	0.9955448717948718	0.017762570670683663
0.4	3	5	5	0.9977777777777778	0.015555555555555546
0.5	1	3	1	0.9798261819316586	0.10551744606328987
0.5	1	3	2	0.9161578846027965	0.10059400808232695
0.5	1	3	3	0.8016970080397461	0.27143942346952643
0.5	1	3	4	0.8577107568124732	0.1935077747516932
0.5	1	3	5	0.8658733291861068	0.22201961851029353
0.5	1	4	1	1.0	0.0
0.5	1	4	2	0.9898306740928886	0.024296846804291974
0.5	1	4	3	0.8350406321182932	0.20297744135011736
0.5	1	4	4	0.7713207144032288	0.21595951053166104
0.5	1	4	5	0.7730206490014675	0.1902504528893974
0.5	1	5	1	1.0	0.0
0.5	1	5	2	1.0	0.0
0.5	1	5	3	0.9907663668628947	0.013747161790222668
0.5	1	5	4	0.7983009975674205	0.23223161318506075
0.5	1	5	5	0.7565168380355712	0.2603824085982941
0.5	2	3	1	1.0	0.0
0.5	2	3	2	0.995	0.020069324297987155
0.5	2	3	3	0.9841262626262628	0.04503646138175635
0.5	2	3	4	0.99	0.04898979485566357
0.5	2	3	5	0.981	0.06683395677182202
0.5	2	4	1	1.0	0.0
0.5	2	4	2	1.0	0.0
0.5	2	4	3	0.9551149005694031	0.1098399425411335
0.5	2	4	4	0.9382937452411135	0.1526723801314974
0.5	2	4	5	0.9158488521523751	0.21745409799024254
0.5	2	5	1	0.9988235294117647	0.008235294117647108
0.5	2	5	2	1.0	0.0
0.5	2	5	3	0.9907848215744021	0.02389410410303391
0.5	2	5	4	0.9036954183881608	0.10660633983311235
0.5	2	5	5	0.8351265523053621	0.2107959976373184
0.5	3	3	1	1.0	0.0
0.5	3	3	2	1.0	0.0
0.5	3	3	3	1.0	0.0
0.5	3	3	4	1.0	0.0
0.5	3	3	5	1.0	0.0
0.5	3	4	1	1.0	0.0
0.5	3	4	2	1.0	0.0
0.5	3	4	3	1.0	0.0
0.5	3	4	4	0.9975	0.017499999999999998
0.5	3	4	5	1.0	0.0
0.5	3	5	1	1.0	0.0
0.5	3	5	2	1.0	0.0
0.5	3	5	3	0.9992857142857143	0.005000000000000045
0.5	3	5	4	0.9682846700083543	0.07502439415597337
0.5	3	5	5	0.9753954819127233	0.06455025799276282
0.6	1	3	1	0.9835974971594166	0.040316850681169414
0.6	1	3	2	0.8196558103059651	0.21203470739415387
0.6	1	3	3	0.7961949819186661	0.2598959771175989
0.6	1	3	4	0.727797971636207	0.26375106629897305
0.6	1	3	5	0.8155822543469601	0.2211570001739085
0.6	1	4	1	1.0	0.0
0.6	1	4	2	0.9539786630081479	0.14238337473156226
0.6	1	4	3	0.696155132208319	0.31924319183843275
0.6	1	4	4	0.6279632794106478	0.3130174119571091
0.6	1	4	5	0.6938801260658845	0.25495592907971415
0.6	1	5	1	1.0	0.0
0.6	1	5	2	0.9996296296296296	0.0025925925925925266
0.6	1	5	3	0.9594203681413564	0.06473780349701824
0.6	1	5	4	0.5412088291825135	0.35303545449939455
0.6	1	5	5	0.5933823039705393	0.33667735446408603
0.6	2	3	1	1.0	0.0
0.6	2	3	2	0.985959595959596	0.05470692523442752
0.6	2	3	3	0.9886580086580088	0.03944518810975274
0.6	2	3	4	0.9679444444444444	0.08405467429955897
0.6	2	3	5	0.9821428571428572	0.05967837075949658
0.6	2	4	1	1.0	0.0
0.6	2	4	2	0.9944013914095584	0.020157923797028958
0.6	2	4	3	0.8891584263988355	0.13144616915739615
0.6	2	4	4	0.8495962370962371	0.2477685942646326
0.6	2	4	5	0.8992056434793275	0.13490187997765662
0.6	2	5	1	1.0	0.0
0.6	2	5	2	1.0	0.0
0.6	2	5	3	0.9807471842636406	0.025222029388628824
0.6	2	5	4	0.7717996293352329	0.1975579961665437
0.6	2	5	5	0.6922115916591147	0.26362305505960154
0.6	3	3	1	1.0	0.0
